prefix,bits,organization,registry
00013B,24,BNA SYSTEMS,MA-L
00013C,24,TIW SYSTEMS,MA-L
00013D,24,RiscStation Ltd.,MA-L
00013E,24,Ascom Tateco AB,MA-L
00013F,24,"Neighbor World Co., Ltd.",MA-L
000140,24,Sendtek Corporation,MA-L
000141,24,CABLE PRINT,MA-L
000142,24,"Cisco Systems, Inc",MA-L
000143,24,"Cisco Systems, Inc",MA-L
000144,24,Dell EMC,MA-L
000145,24,"WINSYSTEMS, INC.",MA-L
000146,24,"Tesco Controls, Inc.",MA-L
000147,24,"Zhone Technologies, Inc.",MA-L
000148,24,X-traWeb Inc.,MA-L
000149,24,TDT AG,MA-L
00014A,24,Sony Corporation,MA-L
00014B,24,"Ennovate Networks, Inc.",MA-L
00014C,24,Berkeley Process Control,MA-L
00014D,24,"Shin Kin Enterprises Co., Ltd",MA-L
00014E,24,"WIN Enterprises, Inc.",MA-L
00014F,24,Adtran Inc,MA-L
000150,24,"GILAT COMMUNICATIONS, LTD.",MA-L
000151,24,Ensemble Communications,MA-L
000152,24,CHROMATEK INC.,MA-L
000153,24,ARCHTEK TELECOM CORPORATION,MA-L
000154,24,G3M Corporation,MA-L
000155,24,"Promise Technology, Inc.",MA-L
000156,24,"FIREWIREDIRECT.COM, INC.",MA-L
000157,24,"SYSWAVE CO., LTD",MA-L
000158,24,Electro Industries/Gauge Tech,MA-L
000159,24,S1 Corporation,MA-L
00015A,24,Digital Video Broadcasting,MA-L
00015B,24,ITALTEL S.p.A/RF-UP-I,MA-L
00015C,24,CADANT INC.,MA-L
00015D,24,Oracle Corporation,MA-L
00015E,24,"BEST TECHNOLOGY CO., LTD.",MA-L
00015F,24,DIGITAL DESIGN GmbH,MA-L
000160,24,"ELMEX Co., LTD.",MA-L
000161,24,Meta Machine Technology,MA-L
000162,24,"Cygnet Technologies, Inc.",MA-L
000163,24,"Cisco Systems, Inc",MA-L
000164,24,"Cisco Systems, Inc",MA-L
000165,24,AirSwitch Corporation,MA-L
000166,24,TC GROUP A/S,MA-L
000167,24,HIOKI E.E. CORPORATION,MA-L
000168,24,VITANA CORPORATION,MA-L
000169,24,Celestix Networks Pte Ltd.,MA-L
00016A,24,ALITEC,MA-L
00016B,24,"LightChip, Inc.",MA-L
00016C,24,FOXCONN,MA-L
00016D,24,CarrierComm Inc.,MA-L
00016E,24,Conklin Corporation,MA-L
00016F,24,Inkel Corp.,MA-L
000170,24,ESE Embedded System Engineer'g,MA-L
000171,24,Allied Data Technologies,MA-L
000172,24,"TechnoLand Co., LTD.",MA-L
000173,24,AMCC,MA-L
000174,24,CyberOptics Corporation,MA-L
000175,24,Radiant Communications Corp.,MA-L
000176,24,Orient Silver Enterprises,MA-L
000177,24,EDSL,MA-L
000178,24,"MARGI Systems, Inc.",MA-L
000179,24,"WIRELESS TECHNOLOGY, INC.",MA-L
00017A,24,"Chengdu Maipu Electric Industrial Co., Ltd.",MA-L
00017B,24,Heidelberger Druckmaschinen AG,MA-L
00017C,24,AG-E GmbH,MA-L
00017D,24,ThermoQuest,MA-L
00017E,24,"ADTEK System Science Co., Ltd.",MA-L
00017F,24,Experience Music Project,MA-L
000180,24,"AOpen, Inc.",MA-L
000181,24,Nortel Networks,MA-L
000182,24,DICA TECHNOLOGIES AG,MA-L
000183,24,ANITE TELECOMS,MA-L
000184,24,SIEB & MEYER AG,MA-L
000185,24,"Hitachi Aloka Medical, Ltd.",MA-L
000186,24,Uwe Disch,MA-L
000187,24,I2SE GmbH,MA-L
000188,24,LXCO Technologies ag,MA-L
000189,24,"Refraction Technology, Inc.",MA-L
00018A,24,ROI COMPUTER AG,MA-L
00018B,24,"NetLinks Co., Ltd.",MA-L
00018C,24,Mega Vision,MA-L
00018D,24,AudeSi Technologies,MA-L
00018E,24,Logitec Corporation,MA-L
00018F,24,"Kenetec, Inc.",MA-L
000190,24,SMK-M,MA-L
000191,24,SYRED Data Systems,MA-L
000192,24,Texas Digital Systems,MA-L
000193,24,"Hanbyul Telecom Co., Ltd.",MA-L
000194,24,Capital Equipment Corporation,MA-L
000195,24,"Sena Technologies, Inc.",MA-L
000196,24,"Cisco Systems, Inc",MA-L
000197,24,"Cisco Systems, Inc",MA-L
000198,24,Darim Vision,MA-L
000199,24,HeiSei Electronics,MA-L
00019A,24,LEUNIG GmbH,MA-L
00019B,24,"Kyoto Microcomputer Co., Ltd.",MA-L
00019C,24,Lumentum,MA-L
00019D,24,"E-Control Systems, Inc.",MA-L
00019E,24,"ESS Technology, Inc.",MA-L
00019F,24,ReadyNet,MA-L
0001A0,24,Infinilink Corporation,MA-L
0001A1,24,"Mag-Tek, Inc.",MA-L
0001A2,24,"Logical Co., Ltd.",MA-L
0001A3,24,"GENESYS LOGIC, INC.",MA-L
0001A4,24,Microlink Corporation,MA-L
0001A5,24,"Nextcomm, Inc.",MA-L
0001A6,24,Scientific-Atlanta Arcodan A/S,MA-L
0001A7,24,UNEX TECHNOLOGY CORPORATION,MA-L
0001A8,24,"Welltech Computer Co., Ltd.",MA-L
0001A9,24,BMW AG,MA-L
0001AA,24,"Airspan Communications, Ltd.",MA-L
0001AB,24,Main Street Networks,MA-L
0001AC,24,"Sitara Networks, Inc.",MA-L
0001AD,24,"Coach Master International  d.b.a. CMI Worldwide, Inc.",MA-L
0001AE,24,Trex Enterprises,MA-L
0001AF,24,Artesyn Embedded Technologies,MA-L
0001B0,24,"Fulltek Technology Co., Ltd.",MA-L
0001B1,24,General Bandwidth,MA-L
0001B2,24,"Digital Processing Systems, Inc.",MA-L
0001B3,24,Precision Electronic Manufacturing,MA-L
0001B4,24,"Wayport, Inc.",MA-L
0001B5,24,"Turin Networks, Inc.",MA-L
0001B6,24,"SAEJIN T&M Co., Ltd.",MA-L
0001B7,24,"Centos, Inc.",MA-L
0001B8,24,"Netsensity, Inc.",MA-L
0001B9,24,SKF (U.K.) Limited,MA-L
0001BA,24,"IC-Net, Inc.",MA-L
0001BB,24,Frequentis,MA-L
0001BC,24,Brains Corporation,MA-L
0001BD,24,"Peterson Electro-Musical Products, Inc.",MA-L
0001BE,24,"Gigalink Co., Ltd.",MA-L
0001BF,24,"Teleforce Co., Ltd.",MA-L
0001C0,24,"CompuLab, Ltd.",MA-L
0001C1,24,Vitesse Semiconductor Corporation,MA-L
0001C2,24,ARK Research Corp.,MA-L
0001C3,24,"Acromag, Inc.",MA-L
